video_id	attribute	url
62	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=midd00599/size=560_360/affi_id=10278-996/
62	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=midd00599/size=644_414/affi_id=10278-996/
62	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=midd00599/size=720_480/affi_id=10278-996/
63	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00082/size=476_306/affi_id=10278-996/
63	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00082/size=560_360/affi_id=10278-996/
63	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00082/size=644_414/affi_id=10278-996/
63	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00082/size=720_480/affi_id=10278-996/
64	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00032/size=476_306/affi_id=10278-996/
64	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00032/size=560_360/affi_id=10278-996/
64	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00032/size=644_414/affi_id=10278-996/
64	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00032/size=720_480/affi_id=10278-996/
65	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00030/size=476_306/affi_id=10278-996/
65	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00030/size=560_360/affi_id=10278-996/
65	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00030/size=644_414/affi_id=10278-996/
65	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00030/size=720_480/affi_id=10278-996/
66	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00027/size=476_306/affi_id=10278-996/
66	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00027/size=560_360/affi_id=10278-996/
66	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00027/size=644_414/affi_id=10278-996/
66	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00027/size=720_480/affi_id=10278-996/
67	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00024/size=476_306/affi_id=10278-996/
67	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00024/size=560_360/affi_id=10278-996/
67	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00024/size=644_414/affi_id=10278-996/
67	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ars00024/size=720_480/affi_id=10278-996/
69	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00781/size=476_306/affi_id=10278-996/
69	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00781/size=560_360/affi_id=10278-996/
69	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00781/size=644_414/affi_id=10278-996/
69	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00781/size=720_480/affi_id=10278-996/
70	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00163/size=476_306/affi_id=10278-996/
70	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00163/size=560_360/affi_id=10278-996/
70	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00163/size=644_414/affi_id=10278-996/
70	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00163/size=720_480/affi_id=10278-996/
71	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00774/size=476_306/affi_id=10278-996/
71	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00774/size=560_360/affi_id=10278-996/
71	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00774/size=644_414/affi_id=10278-996/
71	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00774/size=720_480/affi_id=10278-996/
72	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00766/size=476_306/affi_id=10278-996/
72	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00766/size=560_360/affi_id=10278-996/
72	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00766/size=644_414/affi_id=10278-996/
72	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00766/size=720_480/affi_id=10278-996/
73	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00159/size=476_306/affi_id=10278-996/
73	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00159/size=560_360/affi_id=10278-996/
73	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00159/size=644_414/affi_id=10278-996/
73	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00159/size=720_480/affi_id=10278-996/
74	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00759/size=476_306/affi_id=10278-996/
74	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00759/size=560_360/affi_id=10278-996/
74	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00759/size=644_414/affi_id=10278-996/
74	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00759/size=720_480/affi_id=10278-996/
75	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00752/size=476_306/affi_id=10278-996/
75	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00752/size=560_360/affi_id=10278-996/
75	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00752/size=644_414/affi_id=10278-996/
75	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00752/size=720_480/affi_id=10278-996/
76	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00745/size=476_306/affi_id=10278-996/
76	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00745/size=560_360/affi_id=10278-996/
76	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00745/size=644_414/affi_id=10278-996/
76	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pppd00745/size=720_480/affi_id=10278-996/
88	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00131/size=476_306/affi_id=10278-996/
88	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00131/size=560_360/affi_id=10278-996/
88	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00131/size=644_414/affi_id=10278-996/
88	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00131/size=720_480/affi_id=10278-996/
89	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00035/size=476_306/affi_id=10278-996/
89	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00035/size=560_360/affi_id=10278-996/
89	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00035/size=644_414/affi_id=10278-996/
